Question Id,Meaning
SPIN1,I am afraid of people in authority.
SPIN2,I am bothered by blushing in front of people.
SPIN3,Parties and social events scare me.
SPIN4,I avoid talking to people I donâ€™t know.
SPIN5,Being criticized scares me a lot.
SPIN6,I avoid doing things or speaking to people for fear of embarrassment.
SPIN7,Sweating in front of people causes me distress.
SPIN8,I avoid going to parties.
SPIN9,I avoid activities in which I am the center of attention.
SPIN10,Talking to strangers scares me.
SPIN11,I avoid having to give speeches.
SPIN12,I would do anything to avoid being criticized.
SPIN13,Heart palpitations bother me when I am around people.
SPIN14,I am afraid of doing things when people might be watching.
SPIN15,Being embarrassed or looking stupid are among my worst fears.
SPIN16,I avoid speaking to anyone in authority.
SPIN17,Trembling or shaking in front of others is distressing to me.
